target_id	GRP1A	GRP1B	GRP1C	GRP1D	GRP1E	GRP2A	GRP2B	GRP2C	GRP2D	GRP2E	GRP3A	GRP3B	GRP3C	GRP3D	GRP3E	GRP4A	GRP4B	GRP4C	GRP4D	GRP4E
ENST00000506596.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000696114.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000696112.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000399518.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000696115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000696116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000696117.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000547930.5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
ENST00000696118.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000551073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000497503.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000463587.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENST00000461828.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000495736.1	1	0	7	0	0	0	0	4.24592	1	0	0	1	1.65623	0	0	0	0	3.19795	0	1
ENST00000494311.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000466363.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000485477.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000431780.6	0	0	4	0	0	0	0	0	0	0	0	0	2.14497	0	0	0	0	0	0	0
ENST00000474905.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000393213.7	0	0	0	0	0	0	0	0	0	0	0	0	4.87551	0	0	0	0	3.30367	1	0
ENST00000479492.1	0	0	1	0	0	0	0	0.754079	0	0	0	0	0.323294	0	1	0	0	0.498386	0	0
ENST00000648875.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000650372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000649448.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000439188.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000647920.1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1.96376	0	0	0	0	0
ENST00000478354.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000674083.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000307340.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000481786.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000463147.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000366942.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000429976.5	1.95997e-08	165.588	92.9212	189.555	155.322	17	52.1441	161.319	0.0108872	7.01265e-05	38.307	226.938	82.1355	1.62064	0.529382	51.0935	35.7974	259.703	166.118	137.113
ENST00000646897.1	0	5.21743e-08	76.4883	0	0	0	19.8559	0	0	0	0.00103729	6.1845	0	59.8281	29.8221	0	0	0	0	0
ENST00000645898.2	215.951	0.391079	0.0848045	0.0192943	0.671417	1.20489e-06	2.0328e-05	0.00353182	106.426	85.76	234.508	0.468989	106.677	114.853	147.858	1.99021	103.374	2.71547e-06	0.000385218	0.000134135
ENST00000646436.1	11.7562	17.8839	0	0	2.07332	0	0	9.45656	23.5634	0	36.1586	0.0149149	5.55515	0.181223	0	18.9369	0	7.65976	23.2714	18.9469
ENST00000643881.1	30.6092	17.6713	0	10.4258	36.9393	0	0	0	0	0	0	2.46821	0	9.51695	0	0	0	24.3495	0	0
ENST00000463984.1	0	0.469261	0	0	0	0	0	0	0	1.23998	1.02473	0	0	0	0	0	1.15108	0	0	1.46053
