target_id	GRP1A	GRP1B	GRP1C	GRP1D	GRP1E	GRP2A	GRP2B	GRP2C	GRP2D	GRP2E	GRP3A	GRP3B	GRP3C	GRP3D	GRP3E	GRP4A	GRP4B	GRP4C	GRP4D	GRP4E
ENST00000554774.1	16.4427	20.3833	41.2121	15.8814	13.1445	23.3929	5.12732	6.44682	0.148756	0	16.4638	0	0	0	40.3285	0	6.7484	5.86298	7.53806	23.0065
ENST00000555451.1	0	0	0	0	18.6082	0	24.9307	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000555832.1	3.08935	0	0	0	0	0	0	2.00052	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000553807.1	0	0	0	0	0	0	5.64118	0	8.20941	0	0	8.90445	0	0	0	4.32535	0	0	0	9.75308
ENST00000557439.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93291	0	0	0	1.36558e-05	0
ENST00000553361.5	0	0	0	0	1.01841	0	0	0	0	0	0	0	0	0	0	11.9542	0	10.3696	0	6.93995
ENST00000556980.5	9.71254	0	2.97186	0	0	11.3489	0	0	0	20.2106	0	0	4.18838	0	0	6.52206	0	0	0	0
ENST00000555964.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000555231.5	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3598	5.09259	0	0	0	0	0
ENST00000556682.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000553332.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000554170.1	0	0	0	0	0	0	10.4796	0	0	0	0	0	0	0	0	0	15.6802	0	0	0
ENST00000490638.5	2.07014	0	0	0.820592	0	0	0.754158	0	0	0.67111	1.03135	0	0	0	0	0	0	0	0	0
ENST00000475323.5	1.25475	0	0	0	3.1353	0	0	0.961865	0.818424	0.0263139	0	0	0	0	0	0	1.37313	0	0	0
ENST00000378387.4	2.16827	0.757754	0	0	0.680739	2.69706	0.877949	0.629953	0	0	4.6545	1.3554	0	1.69483	0	0	1.70027	0	1.65888	0
ENST00000490970.5	0	0.874436	0	0	0	0	0	0	0	0	0	0	1.59749	0	0	1.59429	0	0	0	0
ENST00000488918.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000468876.1	0	0	0	0	0	0	0	0	5.79326	0	0	0	0	0	0	0	0	0	0	0
ENST00000608749.5	0	0	0	0	0	0	0.327404	0	0	1.56615	0	0.411382	0	0	0	0	5.51104	6.02906	12.5946	0
ENST00000447733.5	0	0	0	0	0	0	0	0	5.78934	2.05328	0	0	0	0	0	0	0	0	0	0
ENST00000608674.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000456128.5	0	0	0	0	14.2777	0	0	0	0	0	5.69727	0	2.4016	0	8.91106	1.24126	6.02933	0	0	0
ENST00000411850.5	0	5.52085	0	0	6.99182	10.03	3.11536	0	0	3.58835	0	0	4.55435	15.2927	0	0	0	0	11.8984	0
ENST00000425375.5	0	0	0	0	0	0	9.13792e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000404284.6	0	1.79745	0	0	0	0	0	0	3.8321	0	0	0	0	0	0	0	0	2.52122	0	1.43823
ENST00000465529.1	0	0	0	0	0	0	0	0	0	5.99291	0	0	0	0	0	0	0	0	0	0
ENST00000487670.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000439512.5	0	0	0	0	2.33214	0	0	0	0	0	0	0	0	6.2236	0	0	0	0	0	0
ENST00000424387.5	13.638	0	0	0	6.80207e-07	0	0	4.6972	3.90113	0	0	0	0	0	0	0	0	0	0	0
ENST00000395736.7	6.72153	0	21.8544	0	2.46928	1.77112	11.8704	0	0	0	4.56818	11.3809	20.3756	12.4279	0	1.4271	0	3.64866	0	0
ENST00000449508.1	0	0	0	0	0	0	0	7.89748	0	4.6742	22.8592	0	0	1.03066	0	0	0	0	0	0
ENST00000449058.7	0	17.3819	15.4613	7.43716	3.01323	2.46071e-07	2.56284	0	0	10.9141	8.79986	19.9001	0	0	11.3944	4.43541	6.71701	2.223	0	8.60774
ENST00000443206.2	25.9683	30.4627	9.01233	3.77099	0	12.9737	0	0	0	0	0	0	0	8.46485	0	6.39943	0	5.89436	0	1.39193
ENST00000497448.1	0	0	0	0	0	0	0	0	0	0	12.1994	0	0	11.2445	0	0	0	0	0	0
ENST00000491987.1	6.54975	0	4.36634	2.55692	15.4564	0	0	0	3.47436	0	0	0	0	3.12641	6.26659	7.48536	9.00051	2.51907	0	0
ENST00000492723.1	5.02932	0.823474	1.47596	5.88601	3.1688	4.87043	1.65093	4.36492	1.89199	2.61255	5.62038	3.14273	3.82364	3.69078	3.19732	1.57204	1.4867	4.3728	0.850163	0
ENST00000532798.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000529466.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000262158.8	6.60608	22.6449	13.4163	13.3023	12.3179	11.2497	23.5176	14.6389	12.1331	6.50116	14.8802	17.1843	9.51803	9.09609	7.22136	14.8773	11.0085	3.41222	11.2219	13.385
ENST00000545051.2	23.8072	10.0771	0	0	19.3527	1.69616	0	0	0	5.60632	9.16832	0	12.1478	6.40263	19.7262	0.000459387	20.7888	2.77357	0.507929	0.334416
ENST00000591805.5	10.5272	7.71304	3.59436	0	0	6.19729	0	0	3.02634	0	0.63124	7.05281	4.04559	0	5.70858e-07	12.0303	0	0	0	0
ENST00000589634.1	0	0	2.45047	0	0	0	3.08313	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000587336.1	0	0	0	3.03809	6.30755	5.46935	0	0	11.1495	12.4409	0	0	0	4.01415	3.60046	20.5762	0	0	0.709336	0
ENST00000585986.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000586093.1	9.42182	0	0.632712	9.49057	3.41588	0	1.49703	0	0	0	0	0	0	0	0	2.9854	0	0	0	0
ENST00000588190.1	0	28.8423	0	0	14.5585	0	0	0	0	0	0	0	0	28.6049	0	0	0	0	0	0
ENST00000329209.9	0	0	0	0	2.72602	5.17911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000414955.6	0	0	0	0	0	0	0	0	0	0	0	0	1.57808	0	0	0	1.5065	0	0	1.48403
ENST00000375327.6	0	0	0	0	0	0	0	0	1.2226	0	0	0	0	0	0	0	0	0	0	0
ENST00000457095.5	0	0	0	0	0	0	0	0	0	0.950568	0	0	0	0	0	0	0	0	0	0
ENST00000490702.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000371652.9	4.38772	3.32599	5.02356	1.82985	4.29261	2.62027	1.16577	2.00058	2.21883	0.697086	2.33663	2.74058	2.69733	3.26224	1.84631	2.276	1.04583	2.24724	4.56389	2.08675
ENST00000371650.9	0	0	0	0	0	0	0	0	0	4.3498	0	0	0	0	0	0	5.74288	0	0.133712	0
ENST00000371656.3	0	0	1.49185	1.26101	0	0	0	0	9.54396	0	0	14.8622	4.70986	9.76367	0	0	3.71605	7.49199	0	11.7388
ENST00000453505.6	18.8072	13.7985	0.400568	7.15091	13.8566	18.3111	15.463	17.5859	5.6256	13.8245	9.15173	0	0	3.22367	9.39558	14.9189	10.3165	0	5.00713	4.59074
ENST00000371658.3	0	0	0	0	3.32745	0	0	0	0	3.14508e-05	14.7203	0	0	0	0	0	0.930746	7.29726	1.23545	0
ENST00000331079.11	5.44632	0	0.263652	0	8.08961	35.4455	8.22175	7.61764	20.0379	15.2267	1.48144e-07	4.41678	0.0182082	9.04347	7.80515	32.6663	12.9648	17.6929	9.56223	0.0164672
